tag,start,end,cumdiff
SCGTS048FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,6109683.6
SCPRN047FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4032494.4000000004
SCSNN069FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.370694636E8
SCSNC041FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.096398484E8
SCSRT051FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7784901.0
SCSEC023SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,7784677.0
SCVDH039FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,6123845.0
SCSSN053FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.219180824E9
SCSNC041SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.230924949E9
SCPRN047FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4524.0
SCJAW005FLW003.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,3.9886204E8
SCPRN045FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8.629280335E8
SCSEC023FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.702368698E8
SCAMB021FLW001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,8.10701426E8
SCBAL004FLW003.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.6432976E7
SCSEC023FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1.67104845288E7
SCJIA070SPR001.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,24.0
SCGDN019FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.774849566E9
SCAMA009FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,2.814362325E9
SCHMN015FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,1216809.0
SCADB035FLW002.TOTAL_FLOW,2021-11-29T18:00:00.000Z,2021-11-30T00:00:00.000Z,4.4243445E7
